000668,荣丰控股,RFKG,sz
000669,*ST金鸿,*STJH,sz
000671,阳光城,YGC,sz
000672,上峰水泥,SFSN,sz
000673,*ST当代,*STDD,sz
000676,智度股份,ZDGF,sz
000677,恒天海龙,HTHL,sz
000678,襄阳轴承,XYZC,sz
000679,*ST友谊,*STYY,sz
000680,山推股份,STGF,sz
000681,视觉中国,SJZG,sz
000682,东方电子,DFDZ,sz
000683,远兴能源,YXNY,sz
000685,中山公用,ZSGY,sz
000686,东北证券,DBZX,sz
000687,*ST华讯,*STHX,sz
000688,国城矿业,GCKY,sz
000690,宝新能源,BXNY,sz
000691,亚太实业,YTSY,sz
000692,惠天热电,HTRD,sz
000695,滨海能源,BHNY,sz
000697,炼石航空,LDHK,sz
000698,沈阳化工,SYHG,sz
000700,模塑科技,MSKJ,sz
000701,厦门信达,XMXD,sz
000702,正虹科技,ZJKJ,sz
000703,恒逸石化,HYDH,sz
000705,浙江震元,ZJZY,sz
000707,ST双环,STSH,sz
000708,中信特钢,ZXTG,sz
000709,河钢股份,HGGF,sz
000710,贝瑞基因,BRJY,sz
000711,京蓝科技,JLKJ,sz
000712,锦龙股份,JLGF,sz
000713,丰乐种业,FLZY,sz
000715,中兴商业,ZXSY,sz
000716,黑芝麻,HZM,sz
000717,韶钢松山,SGSS,sz
000718,苏宁环球,SNHQ,sz
000719,中原传媒,ZYCM,sz
000720,新能泰山,XNTS,sz
000721,西安饮食,XAYS,sz
000722,湖南发展,HNFZ,sz
000723,美锦能源,MJNY,sz
000725,京东方Ａ,JDFＡ,sz
000726,鲁泰Ａ,LTＡ,sz
000727,*ST东科,*STDK,sz
000728,国元证券,GYZX,sz
000729,燕京啤酒,YJPJ,sz
000731,四川美丰,SCMF,sz
000732,泰禾集团,THJT,sz
000733,振华科技,ZHKJ,sz
000735,罗牛山,LNS,sz
000736,中交地产,ZJDC,sz
000737,ST南风,STNF,sz
000738,航发控制,HFKZ,sz
000739,普洛药业,PLYY,sz
000750,国海证券,GHZX,sz
000751,锌业股份,XYGF,sz
000752,*ST西发,*STXF,sz
000753,漳州发展,ZZFZ,sz
000755,山西路桥,SXLQ,sz
000756,新华制药,XHZY,sz
000757,浩物股份,HWGF,sz
000758,中色股份,ZSGF,sz
000759,中百集团,ZBJT,sz
000760,*ST斯太,*STST,sz
000761,本钢板材,BGBC,sz
000762,西藏矿业,XZKY,sz
000766,通化金马,THJM,sz
000767,漳泽电力,ZZDL,sz
000768,中航飞机,ZHFJ,sz
000776,广发证券,GFZX,sz
000777,中核科技,ZHKJ,sz
000778,新兴铸管,XXZG,sz
000779,甘咨询,GZX,sz
000780,*ST平能,*STPN,sz
000782,美达股份,MDGF,sz
000783,长江证券,ZJZX,sz
000785,居然之家,JRZJ,sz
000786,北新建材,BXJC,sz
000788,北大医药,BDYY,sz
000789,万年青,MNQ,sz
000790,华神科技,HSKJ,sz
000791,甘肃电投,GSDT,sz
000793,华闻集团,HWJT,sz
000795,英洛华,YLH,sz
000796,凯撒旅业,KSL:Y,sz
000797,中国武夷,ZGWY,sz
000798,中水渔业,ZSYY,sz
000799,酒鬼酒,JGJ,sz
000800,一汽解放,YQJF,sz
000801,四川九洲,SCJZ,sz
000802,北京文化,BJWH,sz
000803,*ST金宇,*STJY,sz
000806,*ST银河,*STYH,sz
000807,云铝股份,YL:GF,sz
000809,铁岭新城,TLXC,sz
000810,创维数字,CWSZ,sz
000811,冰轮环境,BLHJ,sz
000812,陕西金叶,SXJX,sz
000813,德展健康,DZJK,sz
000815,美利云,MLY,sz
000816,ST慧业,STHY,sz
000818,航锦科技,HJKJ,sz
000819,岳阳兴长,YYXZ,sz
000820,*ST节能,*STJN,sz
000821,京山轻机,JSQJ,sz
000822,山东海化,SDHH,sz
000823,超声电子,CSDZ,sz
000825,太钢不锈,TGBX,sz
000826,启迪环境,QDHJ,sz
000828,东莞控股,DGKG,sz
000829,天音控股,TYKG,sz
000830,鲁西化工,LXHG,sz
000831,五矿稀土,WKXT,sz
000833,粤桂股份,YGGF,sz
000835,长城动漫,ZCDM,sz
000836,富通鑫茂,FTXM,sz
000837,*ST秦机,*STQJ,sz
000838,财信发展,CXFZ,sz
000839,中信国安,ZXGA,sz
000848,承德露露,CDLL,sz
000850,华茂股份,HMGF,sz
000851,高鸿股份,GHGF,sz
000852,石化机械,DHJX,sz
000856,冀东装备,JDZB,sz
000858,五粮液,WLY,sz
000859,国风塑业,GFSY,sz
000860,顺鑫农业,SXNY,sz
000861,海印股份,HYGF,sz
000862,银星能源,YXNY,sz
000863,三湘印象,SXYX,sz
000868,ST安凯,STAK,sz
000869,张裕Ａ,ZYＡ,sz
000875,吉电股份,JDGF,sz
000876,新希望,XXW,sz
000877,天山股份,TSGF,sz
000878,云南铜业,YNTY,sz
000880,潍柴重机,WCCJ,sz
000881,中广核技,ZGHJ,sz
000882,华联股份,HLGF,sz
000883,湖北能源,HBNY,sz
000885,城发环境,CFHJ,sz
000886,海南高速,HNGS,sz
000887,中鼎股份,ZDGF,sz
000888,峨眉山Ａ,EMSＡ,sz
000889,中嘉博创,ZJBC,sz
000890,*ST胜尔,*STSE,sz
000892,欢瑞世纪,HRSJ,sz
000893,东凌国际,DLGJ,sz
000895,双汇发展,SHFZ,sz
000897,津滨发展,JBFZ,sz
000898,鞍钢股份,AGGF,sz
000899,赣能股份,GNGF,sz
000900,现代投资,XDTZ,sz
000901,航天科技,HTKJ,sz
000902,新洋丰,XYF,sz
000903,云内动力,YNDL,sz
000905,厦门港务,XMGW,sz
000906,浙商中拓,ZSZT,sz
000908,景峰医药,JFYY,sz
000909,数源科技,SYKJ,sz
000910,大亚圣象,DYSX,sz
000911,ST南糖,STNT,sz
000912,泸天化,LTH,sz
000913,钱江摩托,QJMT,sz
000915,山大华特,SDHT,sz
000917,电广传媒,DGCM,sz
000918,嘉凯城,JKC,sz
000919,金陵药业,JLYY,sz
000920,南方汇通,NFHT,sz
000921,海信家电,HXJD,sz
000922,佳电股份,JDGF,sz
000923,河钢资源,HGZY,sz
000925,众合科技,ZGKJ,sz
000926,福星股份,FXGF,sz
000927,*ST夏利,*STXL,sz
000928,中钢国际,ZGGJ,sz
000929,兰州黄河,LZHH,sz
000930,中粮科技,ZLKJ,sz
000931,中关村,ZGC,sz
000932,华菱钢铁,HLGT,sz
000933,神火股份,SHGF,sz
000935,四川双马,SCSM,sz
000936,华西股份,HXGF,sz
000937,冀中能源,JZNY,sz
000938,紫光股份,ZGGF,sz
000948,南天信息,NTXX,sz
000949,新乡化纤,XXHQ,sz
000950,重药控股,CYKG,sz
000951,中国重汽,ZGCQ,sz
000952,广济药业,GJYY,sz
000953,*ST河化,*STHH,sz
000955,欣龙控股,XLKG,sz
000957,中通客车,ZTKJ,sz
000958,东方能源,DFNY,sz
000959,首钢股份,SGGF,sz
000960,锡业股份,XYGF,sz
000961,中南建设,ZNJS,sz
000962,东方钽业,DFTY,sz
000963,华东医药,HDYY,sz
000965,天保基建,TBJJ,sz
000966,长源电力,ZYDL,sz
000967,盈峰环境,YFHJ,sz
000968,蓝焰控股,LYKG,sz
000969,安泰科技,ATKJ,sz
000970,中科三环,ZKSH,sz
000971,*ST高升,*STGS,sz
000972,ST中基,STZJ,sz
000973,佛塑科技,FSKJ,sz
000975,银泰黄金,YTHJ,sz
000976,华铁股份,HTGF,sz
000977,浪潮信息,LCXX,sz
000978,桂林旅游,GLL:Y,sz
000980,*ST众泰,*STZT,sz
000981,*ST银亿,*STYY,sz
000982,*ST中绒,*STZR,sz
000983,西山煤电,XSMD,sz
000985,大庆华科,DQHK,sz
000987,越秀金控,YXJK,sz
000988,华工科技,HGKJ,sz
000989,九芝堂,JZT,sz
000990,诚志股份,CZGF,sz
000993,闽东电力,MDDL,sz
000996,中国中期,ZGZQ,sz
000997,新大陆,XDL,sz
000998,隆平高科,LPGK,sz
000999,华润三九,HRSJ,sz
001696,宗申动力,ZSDL,sz
001872,招商港口,ZSGK,sz
001896,豫能控股,YNKG,sz
001914,招商积余,ZSJY,sz
001965,招商公路,ZSGL,sz
001979,招商蛇口,ZSSK,sz
002001,新和成,XHC,sz
002002,鸿达兴业,HDXY,sz
002003,伟星股份,WXGF,sz
002004,华邦健康,HBJK,sz
002005,*ST德豪,*STDH,sz
002006,精功科技,JGKJ,sz
002007,华兰生物,HLSW,sz
002008,大族激光,DZJG,sz
002009,天奇股份,TJGF,sz
002010,传化智联,CHZL,sz
002011,盾安环境,DAHJ,sz
002012,凯恩股份,KEGF,sz
002013,中航机电,ZHJD,sz
002014,永新股份,YXGF,sz
002015,协鑫能科,XXNK,sz
002016,世荣兆业,SRZY,sz
002017,东信和平,DXHP,sz
002019,亿帆医药,YFYY,sz
002020,京新药业,JXYY,sz
002021,ST中捷,STZJ,sz
002022,科华生物,KHSW,sz
002023,海特高新,HTGX,sz
002024,苏宁易购,SNYG,sz
002025,航天电器,HTDQ,sz
002026,山东威达,SDWD,sz
002027,分众传媒,FZCM,sz
002028,思源电气,SYDQ,sz
002029,七匹狼,QPL,sz
002030,达安基因,DAJY,sz
002031,巨轮智能,JLZN,sz
002032,苏泊尔,SPE,sz
002033,丽江股份,LJGF,sz
002034,旺能环境,WNHJ,sz
002035,华帝股份,HDGF,sz
002036,联创电子,LCDZ,sz
002037,保利联合,BLLG,sz
002038,双鹭药业,SLYY,sz
002039,黔源电力,QYDL,sz
002040,南京港,NJG,sz
002041,登海种业,DHZY,sz
002042,华孚时尚,HFSS,sz
002043,兔宝宝,TBB,sz
002044,美年健康,MNJK,sz
002045,国光电器,GGDQ,sz
002046,轴研科技,ZYKJ,sz
002047,宝鹰股份,BYGF,sz
002048,宁波华翔,NBHX,sz
002049,紫光国微,ZGGW,sz
002050,三花智控,SHZK,sz
002051,中工国际,ZGGJ,sz
002052,*ST同洲,*STTZ,sz
002053,云南能投,YNNT,sz
002054,德美化工,DMHG,sz
002055,得润电子,DRDZ,sz
002056,横店东磁,HDDC,sz
002057,中钢天源,ZGTY,sz
002058,威尔泰,WET,sz
002059,云南旅游,YNL:Y,sz
002060,粤水电,YSD,sz
002061,浙江交科,ZJJK,sz
002062,宏润建设,HRJS,sz
002063,远光软件,YGRJ,sz
002064,华峰氨纶,HFAG,sz
002065,东华软件,DHRJ,sz
002066,瑞泰科技,RTKJ,sz
002067,景兴纸业,JXZY,sz
002068,黑猫股份,HMGF,sz
002069,獐子岛,ZZD,sz
002071,*ST长城,*STZC,sz
002072,ST凯瑞,STKR,sz
002073,软控股份,RKGF,sz
002074,国轩高科,GXGK,sz
002075,沙钢股份,SGGF,sz
002076,*ST雪莱,*STXL,sz
002077,*ST大港,*STDG,sz
002078,太阳纸业,TYZY,sz
002079,苏州固锝,SZGD,sz
002080,中材科技,ZCKJ,sz
002081,金螳螂,JTL,sz
002082,万邦德,MBD,sz
002083,孚日股份,FRGF,sz
002084,海鸥住工,HOZG,sz
002085,万丰奥威,MFAW,sz
002086,ST东海洋,STDHY,sz
002087,新野纺织,XYFZ,sz
002088,鲁阳节能,LYJN,sz
002089,*ST新海,*STXH,sz
002090,金智科技,JZKJ,sz
002091,江苏国泰,JSGT,sz
002092,中泰化学,ZTHX,sz
002093,国脉科技,GMKJ,sz
002094,青岛金王,QDJW,sz
002095,生意宝,SYB,sz
002096,南岭民爆,NLMB,sz
002097,山河智能,SHZN,sz
002098,浔兴股份,XXGF,sz
002099,海翔药业,HXYY,sz
002100,天康生物,TKSW,sz
002101,广东鸿图,GDHT,sz
002102,ST冠福,STGF,sz
002103,广博股份,GBGF,sz
002104,恒宝股份,HBGF,sz
002105,信隆健康,XLJK,sz
002106,莱宝高科,LBGK,sz
002107,沃华医药,WHYY,sz
002108,沧州明珠,CZMZ,sz
002109,兴化股份,XHGF,sz
002110,三钢闽光,SGMG,sz
002111,威海广泰,WHGT,sz
002112,三变科技,SBKJ,sz
002113,*ST天润,*STTR,sz
002114,罗平锌电,LPXD,sz
002115,三维通信,SWTX,sz
002116,中国海诚,ZGHC,sz
002117,东港股份,DGGF,sz
002118,紫鑫药业,ZXYY,sz
002119,康强电子,KQDZ,sz
002120,韵达股份,YDGF,sz
002121,*ST科陆,*STKL,sz
002122,*ST天马,*STTM,sz
002123,梦网集团,MWJT,sz
002124,天邦股份,TBGF,sz
002125,湘潭电化,XTDH,sz
002126,银轮股份,YLGF,sz
002127,南极电商,NJDS,sz
002128,露天煤业,LTMY,sz
002129,中环股份,ZHGF,sz
002130,沃尔核材,WEHC,sz
002131,利欧股份,LOGF,sz
002132,恒星科技,HXKJ,sz
002133,广宇集团,GYJT,sz
