000631,顺发恒业,sz
000632,三木集团,sz
000633,合金投资,sz
000635,英 力 特,sz
000636,风华高科,sz
000637,茂化实华,sz
000638,万方发展,sz
000639,西王食品,sz
000650,仁和药业,sz
000651,格力电器,sz
000652,泰达股份,sz
000653,ST九州,sz
000655,金岭矿业,sz
000656,金科股份,sz
000657,中钨高新,sz
000658,ST海洋,sz
000659,珠海中富,sz
000660,*ST南华,sz
000661,长春高新,sz
000662,*ST天夏,sz
000663,*ST永林,sz
000665,湖北广电,sz
000666,经纬纺机,sz
000667,美好置业,sz
000668,荣丰控股,sz
000669,*ST金鸿,sz
000670,*ST盈方,sz
000671,阳 光 城,sz
000672,上峰水泥,sz
000673,*ST当代,sz
000675,ST银山,sz
000676,智度股份,sz
000677,恒天海龙,sz
000678,襄阳轴承,sz
000679,*ST友谊,sz
000680,山推股份,sz
000681,视觉中国,sz
000682,东方电子,sz
000683,远兴能源,sz
000685,中山公用,sz
000686,东北证券,sz
000687,*ST华讯,sz
000688,国城矿业,sz
000689,ST宏业,sz
000690,宝新能源,sz
000691,亚太实业,sz
000692,惠天热电,sz
000693,华泽退,sz
000695,滨海能源,sz
000697,炼石航空,sz
000698,沈阳化工,sz
000699,S*ST佳纸,sz
000700,模塑科技,sz
000701,厦门信达,sz
000702,正虹科技,sz
000703,恒逸石化,sz
000705,浙江震元,sz
000707,ST双环,sz
000708,中信特钢,sz
000709,河钢股份,sz
000710,贝瑞基因,sz
000711,京蓝科技,sz
000712,锦龙股份,sz
000713,丰乐种业,sz
000715,中兴商业,sz
000716,黑芝麻,sz
000717,韶钢松山,sz
000718,苏宁环球,sz
000719,中原传媒,sz
000720,新能泰山,sz
000721,西安饮食,sz
000722,湖南发展,sz
000723,美锦能源,sz
000725,京东方Ａ,sz
000726,鲁  泰Ａ,sz
000727,*ST东科,sz
000728,国元证券,sz
000729,燕京啤酒,sz
000730,*ST环保,sz
000731,四川美丰,sz
000732,泰禾集团,sz
000733,振华科技,sz
000735,罗 牛 山,sz
000736,中交地产,sz
000737,ST南风,sz
000738,航发控制,sz
000739,普洛药业,sz
000748,长城信息,sz
000750,国海证券,sz
000751,锌业股份,sz
000752,*ST西发,sz
000753,漳州发展,sz
000755,山西路桥,sz
000756,新华制药,sz
000757,浩物股份,sz
000758,中色股份,sz
000759,中百集团,sz
000760,*ST斯太,sz
000761,本钢板材,sz
000762,西藏矿业,sz
000763,锦州石化,sz
000765,*ST华信,sz
000766,通化金马,sz
000767,漳泽电力,sz
000768,中航飞机,sz
000769,*ST大菲,sz
000776,广发证券,sz
000777,中核科技,sz
000778,新兴铸管,sz
000779,甘咨询,sz
000780,*ST平能,sz
000782,美达股份,sz
000783,长江证券,sz
000785,居然之家,sz
000786,北新建材,sz
000787,*ST创智,sz
000788,北大医药,sz
000789,万年青,sz
000790,华神科技,sz
000791,甘肃电投,sz
000792,*ST盐湖,sz
000793,华闻集团,sz
000795,英洛华,sz
000796,凯撒旅业,sz
000797,中国武夷,sz
000798,中水渔业,sz
000799,酒鬼酒,sz
000800,一汽解放,sz
000801,四川九洲,sz
000802,北京文化,sz
000803,*ST北能,sz
000805,*ST炎黄,sz
000806,*ST银河,sz
000807,云铝股份,sz
000809,铁岭新城,sz
000810,创维数字,sz
000811,冰轮环境,sz
000812,陕西金叶,sz
000813,德展健康,sz
000815,美利云,sz
000816,ST慧业,sz
000817,辽河油田,sz
000818,航锦科技,sz
000819,岳阳兴长,sz
000820,*ST节能,sz
000821,京山轻机,sz
000822,山东海化,sz
000823,超声电子,sz
000825,太钢不锈,sz
000826,启迪环境,sz
000827,*ST长兴,sz
000828,东莞控股,sz
000829,天音控股,sz
000830,鲁西化工,sz
000831,五矿稀土,sz
000832,*ST龙涤,sz
000833,粤桂股份,sz
000835,*ST长动,sz
000836,富通鑫茂,sz
000837,*ST秦机,sz
000838,财信发展,sz
000839,中信国安,sz
000848,承德露露,sz
000850,华茂股份,sz
000851,高鸿股份,sz
000852,石化机械,sz
000856,冀东装备,sz
000858,五 粮 液,sz
000859,国风塑业,sz
000860,顺鑫农业,sz
000861,海印股份,sz
000862,银星能源,sz
000863,三湘印象,sz
000866,扬子石化,sz
000868,ST安凯,sz
000869,张  裕Ａ,sz
000875,吉电股份,sz
000876,新 希 望,sz
000877,天山股份,sz
000878,云南铜业,sz
000880,潍柴重机,sz
000881,中广核技,sz
000882,华联股份,sz
000883,湖北能源,sz
000885,城发环境,sz
000886,海南高速,sz
000887,中鼎股份,sz
000888,峨眉山Ａ,sz
000889,中嘉博创,sz
000890,*ST胜尔,sz
000892,欢瑞世纪,sz
000893,亚钾国际,sz
000895,双汇发展,sz
000897,津滨发展,sz
000898,鞍钢股份,sz
000899,赣能股份,sz
000900,现代投资,sz
000901,航天科技,sz
000902,新洋丰,sz
000903,云内动力,sz
000905,厦门港务,sz
000906,浙商中拓,sz
000908,景峰医药,sz
000909,数源科技,sz
000910,大亚圣象,sz
000911,南宁糖业,sz
000912,泸天化,sz
000913,钱江摩托,sz
000915,山大华特,sz
000916,华北高速,sz
000917,电广传媒,sz
000918,嘉凯城,sz
000919,金陵药业,sz
000920,南方汇通,sz
000921,海信家电,sz
000922,佳电股份,sz
000923,河钢资源,sz
000925,众合科技,sz
000926,福星股份,sz
000927,*ST夏利,sz
000928,中钢国际,sz
000929,兰州黄河,sz
000930,中粮科技,sz
000931,中 关 村,sz
000932,华菱钢铁,sz
000933,神火股份,sz
000935,四川双马,sz
000936,华西股份,sz
000937,冀中能源,sz
000938,紫光股份,sz
000939,*ST凯迪,sz
000948,南天信息,sz
000949,新乡化纤,sz
000950,重药控股,sz
000951,中国重汽,sz
000952,广济药业,sz
000953,*ST河化,sz
000955,欣龙控股,sz
000956,中原油气,sz
000957,中通客车,sz
000958,东方能源,sz
000959,首钢股份,sz
000960,锡业股份,sz
000961,中南建设,sz
000962,东方钽业,sz
000963,华东医药,sz
000965,天保基建,sz
000966,长源电力,sz
000967,盈峰环境,sz
000968,蓝焰控股,sz
000969,安泰科技,sz
000970,中科三环,sz
000971,*ST高升,sz
000972,ST中基,sz
000973,佛塑科技,sz
000975,银泰黄金,sz
000976,华铁股份,sz
000977,浪潮信息,sz
000978,桂林旅游,sz
000979,中弘退,sz
000980,*ST众泰,sz
000981,*ST银亿,sz
000982,*ST 中绒,sz
000983,西山煤电,sz
000985,大庆华科,sz
000987,越秀金控,sz
000988,华工科技,sz
000989,九 芝 堂,sz
000990,诚志股份,sz
000993,闽东电力,sz
000995,*ST皇台,sz
000996,中国中期,sz
000997,新 大 陆,sz
000998,隆平高科,sz
000999,华润三九,sz
001696,宗申动力,sz
001872,招商港口,sz
001896,豫能控股,sz
001914,招商积余,sz
001965,招商公路,sz
001979,招商蛇口,sz
002001,新 和 成,sz
002002,鸿达兴业,sz
002003,伟星股份,sz
002004,华邦健康,sz
002005,*ST德豪,sz
002006,精功科技,sz
002007,华兰生物,sz
002008,大族激光,sz
002009,天奇股份,sz
002010,传化智联,sz
002011,盾安环境,sz
002012,凯恩股份,sz
002013,中航机电,sz
002014,永新股份,sz
002015,协鑫能科,sz
002016,世荣兆业,sz
002017,东信和平,sz
002018,华信退,sz
002019,亿帆医药,sz
002020,京新药业,sz
002021,ST中捷,sz
002022,科华生物,sz
002023,海特高新,sz
002024,苏宁易购,sz
002025,航天电器,sz
002026,山东威达,sz
002027,分众传媒,sz
002028,思源电气,sz
002029,七 匹 狼,sz
002030,达安基因,sz
002031,巨轮智能,sz
002032,苏 泊 尔,sz
002033,丽江股份,sz
002034,旺能环境,sz
002035,华帝股份,sz
002036,联创电子,sz
002037,保利联合,sz
002038,双鹭药业,sz
002039,黔源电力,sz
002040,南 京 港,sz
002041,登海种业,sz
002042,华孚时尚,sz
002043,兔 宝 宝,sz
