000001,上证指数,SZZS,sh
399001,深证指数,SZZS,sz
601969,海南矿业,HNKY,sh,7.76
601899,紫金矿业,zjky,sh
600299,安迪苏,ads,sh
603025,大豪科技,dhkj,sh
002781,奇信股份,qxgf,sz
601163,三角轮胎,sjlt,sh
601882,海天精工,HTJG,sh,
600979,广安爱众,GAAZ,sh,
002144,宏达高科,HDGK,sz,
002620,瑞和股份,RHGF,sz,
000863,三湘印象,SXYX,sz,
600496,精工钢构,JGGG,sh,

